Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
39.07198938,-5.312896501,0.6941972297,-2.563606745,5.939769236,jumping
39.08198038,-5.628532126,1.296371564,-2.372405425,6.244138101,jumping
39.09197238,-5.667211457,1.867908828,-2.046464375,6.308279126,jumping
39.10196338,-5.534073281,2.533887979,-1.566847973,6.285027282,jumping
39.11195438,-4.837666973,2.926741349,-1.15244352,5.770352046,jumping
39.12194638,-4.173518,3.142900048,-0.7627868235,5.279954256,jumping
39.13193738,-3.118389689,3.185402289,-0.3522397792,4.471600928,jumping
39.14192838,-2.057863814,3.167557172,0.2303946224,3.784349825,jumping
39.15192038,-0.9624791783,3.151224144,0.7206713757,3.372824782,jumping
39.16191138,0.08570673287,3.096321128,0.7954847458,3.198022225,jumping
39.17190338,1.117915127,2.726161972,0.5880901462,3.004587051,jumping
39.18189438,2.272859502,2.061479732,0.4132700926,3.096188168,jumping
39.19188538,3.227159595,1.486585582,0.3647115979,3.571765711,jumping
39.20187738,3.68751673,0.7049075747,0.3740832227,3.772878554,jumping
39.21186838,4.079453841,-0.2818281931,0.4029640827,4.10898416,jumping
39.22186038,4.754585055,-1.389025374,0.6515148944,4.995992613,jumping
39.23185137,5.335086685,-2.137062011,1.656894217,5.981260939,jumping
39.24184238,5.551261756,-2.495848333,3.447957767,6.995296902,jumping
39.25183438,5.381365643,-2.316104339,4.561557357,7.425041482,jumping
39.26182538,4.648813017,-1.550275794,4.065453268,6.367317157,jumping
39.27181737,3.549225987,-0.628583284,2.642038665,4.469059225,jumping
39.28180838,2.089670913,-0.6490000069,0.4376485965,2.231470777,jumping
39.29179938,0.3179926372,-3.430829226,-1.612027654,3.803990228,jumping
39.30179138,-0.7566694665,-8.439127307,-0.5586254418,8.491376848,jumping
39.31178237,0.2047431797,-11.8480248,0.908947919,11.88460339,jumping
39.32177338,2.178856739,-10.49614971,1.331294937,10.80226465,jumping
39.33176538,2.182239354,-6.856818711,2.045356912,7.480749717,jumping
39.34175638,0.310691219,-3.285337636,2.468728655,4.1212369,jumping
39.35174838,-1.771557823,-0.4721375209,0.7475244212,1.979930231,jumping
39.36173938,-4.13823707,1.137502715,-1.581136521,4.573719621,jumping
39.37173417,-6.887777379,1.261943743,-2.864536915,7.565682453,jumping
39.38172617,-9.274941761,1.867461516,-3.133500649,9.966483005,jumping
39.39171717,-9.105588854,1.431870847,-2.819365127,9.639026,jumping
39.40170917,-5.648443649,-1.035499792,-2.667579888,6.331915819,jumping
39.41170017,-1.794236249,-4.012396218,-2.21287087,4.920915018,jumping
39.42169117,0.2470594794,-6.191626595,-0.9943666765,6.275830093,jumping
39.43168317,0.5948454344,-7.318679751,0.5494494063,7.363342246,jumping
39.44167417,-0.1207268769,-5.672771575,1.263928581,5.813125474,jumping
39.45166617,-1.93088334,-2.907249656,0.03035143465,3.490176535,jumping
39.46165717,-2.965092652,-0.8860718572,-1.14779323,3.300655551,jumping
39.47164817,-2.98494278,0.4656599754,-1.337611976,3.303926211,jumping
39.48164017,-2.593713182,1.096811357,-0.5278699645,2.865133491,jumping
39.49163117,-2.101493399,1.360780984,-0.03083178341,2.503787129,jumping
